,Date,Alderman,Bill_Number,Recusal_Reason,Subject,Title,Type_Of_Legislation
143,04/10/2019,Burke,O2019-2470,represented parties in previous and unrelated matters,['Sidewalk Cafés'],Sidewalk cafe(s) for Lyfe Kitchen - 259 E Erie St,['ordinance']
144,04/10/2019,Burke,O2019-2502,represented parties in previous and unrelated matters,['Amendment'],Second Amendment to redevelopment plan for River South Redevelopment Project Area,['ordinance']
145,04/10/2019,Burke,O2019-2505,represented parties in previous and unrelated matters,['Sidewalk Cafés'],Sidewalk cafe(s) for Rockit Bar & Grill,['ordinance']
146,04/10/2019,Burke,O2019-2512,represented parties in previous and unrelated matters,['Sidewalk Cafés'],Sidewalk cafe(s) for Stans Donuts Erie Street,['ordinance']
147,04/10/2019,Burke,O2019-2533,represented parties in previous and unrelated matters,['Sidewalk Cafés'],Sidewalk cafe(s) for Walgreens No. 15921,['ordinance']
148,04/10/2019,Burke,O2019-2542,represented parties in previous and unrelated matters,['Approval'],Approval of Roosevelt/Clark Redevelopment Project Area Redevelopment Plan,['ordinance']
149,04/10/2019,Burke,O2019-2543,represented parties in previous and unrelated matters,['Designation'],Designation of Roosevelt/Clark Redevelopment Project Area as Tax Increment Financing (TIF) District,['ordinance']
150,04/10/2019,Burke,O2019-2544,represented parties in previous and unrelated matters,['Adoption'],Adoption of Tax Increment Allocation Financing (TIF) for Roosevelt/Clark Redevelopment Project Area,['ordinance']
151,04/10/2019,Burke,O2019-2574,represented parties in previous and unrelated matters,['Redevelopment'],"Redevelopment agreement with Roosevelt/Clark Partners LLC on vacant land bounded by S Clark St, W Roosevelt Rd, Chicago River and W 18th St for infrastructure and mixed use development project to be known as ""The 78""",['ordinance']
152,04/10/2019,Burke,O2019-2583,represented parties in previous and unrelated matters,"['Loan & Security', 'Redevelopment']","Redevelopment agreement with Alloy Property Company LLC and Fleet Portfolio LLC and acquisition of property in area bounded by Webster Ave, Clybourn Ave, North Ave, Elston Ave and Besly Court for infrastructure and mixed use development project to be known as Lincoln Yards",['ordinance']
153,04/10/2019,Burke,O2019-2607,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for Fifth Third Bank,['ordinance']
154,04/10/2019,Burke,O2019-2608,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for Walgreens #215,['ordinance']
155,04/10/2019,Burke,O2019-2611,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for Lawndale Christian Health Center,['ordinance']
156,04/10/2019,Burke,O2019-2623,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for Fifth Third Bank,['ordinance']
157,04/10/2019,Burke,O2019-2630,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for Northwestern University/Chicago Campus,['ordinance']
158,04/10/2019,Burke,O2019-2632,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for Capital One Cafe,['ordinance']
159,03/13/2019,Burke,O2019-485,represented parties in previous and unrelated matters,['Sidewalk Cafés'],"Sidewalk cafe(s) for Anthem, The",['ordinance']
160,03/13/2019,Burke,O2019-592,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for Northwestern Memorial Hospital - conduits,['ordinance']
161,03/13/2019,Burke,O2019-595,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for Northwestern Memorial Hospital - directory kiosk,['ordinance']
162,03/13/2019,Burke,O2019-597,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for Northwestern Memorial Hospital - drain tiles,['ordinance']
163,03/13/2019,Burke,O2019-600,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for Northwestern Memorial Hospital - light poles,['ordinance']
164,03/13/2019,Burke,O2019-601,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for Northwestern Memorial Hospital - planters,['ordinance']
165,03/13/2019,Burke,O2019-674,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for Walgreens No. 01101,['ordinance']
166,03/13/2019,Burke,O2019-703,represented parties in previous and unrelated matters,['Awnings'],Awning(s) for AT&T Mobility,['ordinance']
167,03/13/2019,Burke,O2019-706,represented parties in previous and unrelated matters,['Awnings'],Awning(s) for Bank of America - LaSalle,['ordinance']
168,03/13/2019,Burke,O2019-757,represented parties in previous and unrelated matters,['Sidewalk Cafés'],Sidewalk cafe(s) for Corner Bakery Cafe - 360 N Michigan Ave,['ordinance']
169,03/13/2019,Burke,O2019-775,represented parties in previous and unrelated matters,['Sidewalk Cafés'],Sidewalk cafe(s) for Corner Bakery Cafe - 676 N St Clair St,['ordinance']
170,03/13/2019,Burke,O2019-780,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for BCSP OND Property LLC,['ordinance']
171,01/23/2019,Burke,O2019-82,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for AT&T,['ordinance']
172,03/13/2019,Burke,O2019-842,represented parties in previous and unrelated matters,['Sidewalk Cafés'],Sidewalk cafe(s) for Erie Cafe,['ordinance']
173,03/13/2019,Burke,O2019-870,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for Northwestern Memorial Hospital - driveway drains,['ordinance']
174,03/13/2019,Burke,O2019-874,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for Northwestern Memorial Hospital -kiosks,['ordinance']
175,03/13/2019,Burke,O2019-876,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for Northwestern Memorial Hospital - light poles,['ordinance']
176,03/13/2019,Burke,O2019-887,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for Randolph Tower City Apartments,['ordinance']
177,03/13/2019,Burke,O2019-928,represented parties in previous and unrelated matters,['Grants of Privilege'],"Grant(s) of privilege in public way for Twelve North Venture, in care of CBRE",['ordinance']
178,04/18/18,Taliaferro,Or2018-180,N/A,['Lawsuits'],"Settlement agreement regarding case of Anthony Hernandez v. City of Chicago and James Padar, cited as 2013 L 7077 (Circuit Court of Cook County, Illinois)",['order']
179,03/28/18,Burke,Or2018-22,represented parties in previous and unrelated matters,['Law'],Department of Law ordered to reassess various properties regarding disproportionate disparity between assessed value and fair market value,['order']
180,11/14/2018,Burke,Or2018-535,represented parties in previous and unrelated matters,['Permit Fee Waivers'],Historical landmark fee waiver for property at 739 N Ada St,['order']
181,04/10/2019,Burke,Or2019-105,represented parties in previous and unrelated matters,['SIGNS/SIGNBOARDS'],Issuance of permits for sign(s)/signboard(s) at 303 E Superior St,['order']
182,01/23/2019,Sposato,Or2019-67,N/A,['Lawsuits'],"Settlement agreement regarding case of Ernie Pinkston v. City of Chicago, cited as 13 CV 7399",['order']
183,04/10/2019,Burke,Or2019-92,represented parties in previous and unrelated matters,['SIGNS/SIGNBOARDS'],Issuance of permits for sign(s)/signboard(s) at 3745 W Ogden Ave - north elevation,['order']
184,04/10/2019,Burke,Or2019-93,represented parties in previous and unrelated matters,['SIGNS/SIGNBOARDS'],Issuance of permits for sign(s)/signboard(s) at 3910 W Ogden Ave - 122 sq. ft.,['order']
185,04/10/2019,Burke,Or2019-94,represented parties in previous and unrelated matters,['SIGNS/SIGNBOARDS'],Issuance of permits for sign(s)/signboard(s) at 3910 W Ogden Ave - 136 sq. ft.,['order']
186,04/10/2019,Burke,Or2019-95,represented parties in previous and unrelated matters,['SIGNS/SIGNBOARDS'],Issuance of permits for sign(s)/signboard(s) at 3745 W Ogden Ave - east elevation,['order']
187,10/31/2018,Burke,R2018-1000,represented parties in previous and unrelated matters,['Class 6(b)'],Support of Class 6(b) tax incentive for property at 4340 W 47th St,['resolution']
188,07/25/18,Burke,R2018-680,represented parties in previous and unrelated matters,['Class 6(b)'],Support of Class 6(b) tax incentive for property at 5000 S Homan Ave,['resolution']
189,03/28/18,Burke,O2017-7054,represented parties in previous and unrelated matters,['Map No.  3-F'],Zoning Reclassification Map No. 3-F at 335-345 W Schiller St and 1355-1369 N Sedgwick St - App No. 19401,['ordinance']
